text,label
"Following the central line placement, there is a risk of developing an [ENTITY]infectious process[/ENTITY] if site care is compromised.",Hypothetical
"Despite history of eczema, there is currently no [ENTITY]skin irritation[/ENTITY] noted on the patient’s arms or legs.",Absent
Patient is at risk for post-operative [ENTITY]dyspnea[/ENTITY] with underlying COPD; watch for respiratory distress.,Hypothetical
We will initiate anticoagulation therapy due to the patient's history of [ENTITY]AFib[/ENTITY] and high stroke risk factors.,Present
"Past Medical History: PMH/PSH:  Mediastinoscopy [**2108**], Ectopic pregnancies, right knee surgery, [**2104**], laparoscopy to evaluate for multiple miscarriages,  [entity] GERD [entity] .",Present
"Following carotid endarterectomy, the patient developed a [ENTITY]ischemic stroke[/ENTITY] in the right middle cerebral artery distribution with significant neurological deficits.",Present
Pertinent Results: FINDINGS:  There is a large intraparenchymal basal ganglionic based  [entity] hemorrhage [entity] .,Present
"Vulnerable to [ENTITY]nauseous feeling[/ENTITY] with upcoming MRI contrast administration, advise prophylactic antiemetics.
Note Type: Progress Note
Section: Plan
Target Entity: nauseous feeling
Hypothetical: TRUE
---",Hypothetical
"Without successful diuresis, increased pulmonary congestion could predispose to significant [ENTITY]air hunger[/ENTITY] within",Hypothetical
"Considering the patient's recent travel history and presenting symptoms, a [ENTITY]respiratory infection[/ENTITY] remains low on the differential, and malaria is being investigated.",Absent
No evidence of  [entity] pulmonary embolus [entity]  or aortic dissection.,Absent
"ID: perioperative  [entity] vancomycin/gentamycin [entity]  - levels to be obtained    Wounds/injuries:    Consults: Vascular, needs medical consult    .",Present
Risk stratification suggests high-risk [ENTITY]PE[/ENTITY] with evidence of hemodynamic instability and need for thrombolytic therapy consideration.,Present
"Extremities without  [entity] cyanosis [entity] , clubbing or edema.",Absent
"History of Present Illness: This is a 59M with HTN, glaucoma who presents with  [entity] polyuria [entity]  and polydipia.",Present
"There are postsurgical changes  seen with  [entity] soft tissue emphysema [entity]  mostly at the right submandibular area, 3:37.",Present
Discharge Diagnosis: Peptic ulcer  [entity] GI bleed [entity],Present
Postoperative immobility presents a potential pathway to developing a [ENTITY]cerebrovascular accident[/ENTITY] without aggressive DVT prophylaxis.,Hypothetical
"The clinical assessment reveals a complex interplay between [ENTITY]diabetes mellitus[/ENTITY] and chronic kidney disease, necessitating dose adjustments in medications.
---
Note Type: SOAP Note
Section: Objective
Target Entity: diabetes mellitus",Present
"The patient was admitted with acute coronary syndrome, but denies having [ENTITY]hypertensive[/ENTITY] crisis or any other cardiovascular complications during the hospital stay.",Absent
"Despite a transient fever spike on admission, repeat blood cultures failed to demonstrate [ENTITY]bacteremia[/ENTITY], and the patient is clinically improving.",Absent
Laboratory findings support the diagnosis of [ENTITY]PE[/ENTITY] with elevated D-dimer levels and significant respiratory alkalosis.,Present
"Despite antihypertensive medication, the patient continues to have [ENTITY]elevated BP[/ENTITY] averaging",Present
"After being diagnosed with [ENTITY]diabetes mellitus[/ENTITY] several years ago, the patient has developed peripheral neuropathy.",Present
"Past Medical History: - Downs Syndrome - MRSA Pneumonia complicated by tracheostomy [**10/2187**]   - reversed [**2188-5-13**] -  [entity] C Diff Colitis [entity]  - [**2188**] - Pseudomonas Colitis - [**2188**] - dx by colonoscopy, tx w cipro through G-tube - Adrenal Insufficiency - Seizure History, per sister this [**Name2 (NI) 89173**] with hospitalization in [**11-3**] - on keppra - Hx transaminitis - presumed to be secondary to antiepileptics - Hx of HBV - Membranoproliferative Glomerulonephritis",Present
